"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","N_sensors","T","random_state","steps","Best sensor location","E/E","E/Emin","E/acceptance probability","E/random","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected","best step"
"morning-sweep-11","kdo3edyg","finished","-","talking_bird","","2022-09-09T23:18:10.000Z","5159","psg188td","25","0.0001","1","10000","[12,271,60,228,218,168,224,135,115,119,270,187,263,266,281,162,14,67,261,246,149,77,45,1,0]","0.04228556528687477","0.042087119072675705","0.5287454128265381","0.12292678815264502","5024","0","890","4086","9989"
"super-sweep-5","iyjygyjh","finished","-","talking_bird","","2022-09-09T21:40:39.000Z","5314","psg188td","25","0.00001","1","10000","[65,241,72,227,175,133,177,57,107,237,230,125,209,255,267,197,25,71,221,235,45,141,47,22,0]","0.03717245161533356","0.03715969994664192","0","0.15667213434751803","2880","0","602","6518","9584"
"winter-sweep-3","iyjygyjh","finished","-","talking_bird","","2022-09-09T20:25:21.000Z","4516","psg188td","25","0.00001","3","10000","[136,245,131,257,278,118,164,197,137,123,162,100,8,150,253,139,96,127,97,106,149,37,172,26,184]","0.033560968935489655","0.03351631388068199","2.2574371882910785e-7","0.9978978527542168","3472","0","1743","4785","3224"
"woven-sweep-4","1ffxco4f","finished","-","talking_bird","","2022-09-09T20:26:33.000Z","4984","psg188td","25","0.00001","4","10000","[122,170,197,125,91,235,115,102,223,56,105,13,0,204,4,136,192,9,109,196,23,148,55,167,226]","0.03276968374848366","0.03272898122668266","1.270186424255371","0.8669939837581565","2282","0","947","6771","2766"
"gentle-sweep-5","kdo3edyg","finished","-","talking_bird","","2022-09-09T20:26:36.000Z","5601","psg188td","25","0.00001","5","10000","[229,197,131,73,0,262,243,109,182,208,69,204,117,80,27,9,205,199,37,40,98,137,157,277,176]","0.03188944607973099","0.03186473622918129","0.009691592305898666","0.34991170821996764","2702","0","140","7158","9811"
"bright-sweep-14","07itxcfn","finished","-","talking_bird","","2022-09-10T00:41:36.000Z","4990","psg188td","25","0.0001","4","10000","[9,172,158,200,85,281,111,102,213,31,127,176,0,175,36,87,192,45,197,181,20,270,55,167,245]","0.03174634277820587","0.03163144364953041","2.9522936846842496e-19","0.6203030900433798","4532","0","869","4599","9917"
"leafy-sweep-10","1ffxco4f","finished","-","talking_bird","","2022-09-09T23:16:50.000Z","5196","psg188td","25","0.00005","5","10000","[235,166,131,66,0,220,218,108,202,208,12,214,117,89,27,96,163,238,222,54,77,46,188,233,9]","0.031373023986816406","0.03110605292022228","0","0.32807921789716654","4657","0","727","4616","6933"
"stellar-sweep-6","07itxcfn","finished","-","talking_bird","","2022-09-09T20:26:39.000Z","5384","psg188td","25","0.00005","1","10000","[12,271,101,158,227,133,177,58,107,209,253,52,275,278,91,174,48,20,246,181,280,148,125,63,0]","0.02576141059398651","0.02561803348362446","2.549815285128598e-13","0.6003386583690844","4926","0","634","4440","8889"
"polished-sweep-8","kdo3edyg","finished","-","talking_bird","","2022-09-09T21:59:59.000Z","4687","psg188td","25","0.00005","3","10000","[181,239,105,225,202,167,263,176,191,100,149,112,26,199,205,46,52,142,97,106,136,122,58,63,161]","0.020614195615053177","0.02057424560189247","0.8952599167823792","0.2207035205509057","4510","0","1529","3961","9687"
"volcanic-sweep-6","1ffxco4f","finished","-","talking_bird","","2022-09-09T21:49:38.000Z","5228","psg188td","25","0.00001","2","10000","[167,20,118,25,62,263,186,93,26,201,91,231,112,108,142,225,126,182,136,63,21,125,213,92,267]","0.019851380959153175","0.0197819359600544","0.003563153790310025","0.5748300268556906","3587","0","418","5995","7617"
"ruby-sweep-13","iyjygyjh","finished","-","talking_bird","","2022-09-10T00:29:21.000Z","4768","psg188td","25","0.0001","3","10000","[143,192,225,265,101,159,164,195,178,208,235,194,10,63,264,189,270,114,97,106,158,240,174,25,119]","0.019663535058498383","0.019284212961792942","3.679112694499054e-7","0.06297790798663305","5149","0","1294","3557","9692"
"proud-sweep-25","iyjygyjh","finished","-","talking_bird","","2022-09-10T04:37:22.000Z","3563","psg188td","25","0.001","5","10000","[158,264,133,0,48,273,223,125,115,167,98,260,107,129,60,170,141,266,86,105,37,118,188,225,267]","0.02330902963876724","0.017509309574961662","0.5595940947532654","0.13295227076596694","7603","0","973","1424","9555"
"solar-sweep-9","iyjygyjh","finished","-","talking_bird","","2022-09-09T23:09:17.000Z","4800","psg188td","25","0.00005","4","10000","[81,124,221,58,91,271,237,102,188,84,114,7,0,150,29,106,257,35,159,136,76,195,63,160,211]","0.015293894335627556","0.015115180052816868","0.8968455195426941","0.41618766093369575","5075","0","1124","3801","9454"
"deep-sweep-23","1ffxco4f","finished","-","talking_bird","","2022-09-10T03:31:55.000Z","4892","psg188td","25","0.001","3","10000","[122,254,195,188,223,264,250,136,270,71,279,159,20,225,123,91,253,191,0,102,205,174,221,63,105]","0.01612979918718338","0.01290288195014","0.996599018573761","0.5212867904991895","7718","0","1076","1206","9883"
"glad-sweep-21","iyjygyjh","finished","-","talking_bird","","2022-09-10T03:11:22.000Z","5153","psg188td","25","0.001","1","10000","[56,167,74,105,111,160,213,31,102,225,270,17,265,257,271,215,195,27,134,196,230,122,82,63,0]","0.01383731234818697","0.012656752951443195","1.0079599618911743","0.2319838370673728","7842","0","929","1229","9256"
"kind-sweep-16","kdo3edyg","finished","-","talking_bird","","2022-09-10T00:44:15.000Z","5135","psg188td","25","0.0005","1","10000","[13,280,225,215,266,133,49,167,114,242,125,187,208,231,257,102,63,164,211,186,270,244,246,28,0]","0.012583800591528416","0.012583800591528416","0.20918968319892883","0.3929401278174004","6870","0","885","2245","9997"
"gallant-sweep-15","1ffxco4f","finished","-","talking_bird","","2022-09-10T00:43:30.000Z","5150","psg188td","25","0.0001","5","10000","[45,116,142,127,102,238,118,172,162,257,177,188,63,279,0,136,258,225,51,74,187,197,159,150,221]","0.010583911091089249","0.010208183899521828","0.07355687022209167","0.4113169986071701","5484","0","866","3650","8537"
"devoted-sweep-24","kdo3edyg","finished","-","talking_bird","","2022-09-10T03:36:23.000Z","4854","psg188td","25","0.001","4","10000","[277,212,206,31,52,235,209,132,218,190,102,45,0,264,63,76,198,224,227,159,225,217,18,118,114]","0.025266442447900772","0.009984426200389862","1.80772602558136","0.623807263920875","7602","0","858","1540","5957"
"avid-sweep-22","07itxcfn","finished","-","talking_bird","","2022-09-10T03:26:16.000Z","5016","psg188td","25","0.001","2","10000","[133,20,55,0,40,264,162,193,53,154,86,196,139,233,114,225,102,175,7,8,66,12,260,167,125]","0.016374465078115463","0.00961553119122982","0.002543679904192686","0.9491276809164064","7626","0","839","1535","3040"
"valiant-sweep-17","iyjygyjh","finished","-","talking_bird","","2022-09-10T01:48:56.000Z","4942","psg188td","25","0.0005","2","10000","[159,211,66,182,126,263,245,70,208,39,86,259,225,195,142,155,102,223,114,0,198,52,216,14,235]","0.009600619785487652","0.008335581049323082","0.039792731404304504","0.3334180014460165","6566","0","983","2451","7294"
"firm-sweep-20","kdo3edyg","finished","-","talking_bird","","2022-09-10T02:09:56.000Z","5181","psg188td","25","0.0005","5","10000","[129,188,102,159,0,233,142,114,127,264,78,7,66,230,100,195,273,225,56,16,137,212,209,228,271]","0.009170047007501124","0.008226308971643448","1.5032095909118652","0.7709156460354234","6497","0","895","2608","7081"
"stoic-sweep-19","1ffxco4f","finished","-","talking_bird","","2022-09-10T02:09:26.000Z","4946","psg188td","25","0.0005","4","10000","[222,126,118,52,78,270,264,102,188,59,159,12,0,236,29,137,198,162,66,41,60,253,114,142,225]","0.009859500452876093","0.008215390145778656","0.0039747329428792","0.9712949119729376","6667","0","871","2462","7011"
"astral-sweep-7","07itxcfn","finished","-","talking_bird","","2022-09-09T21:56:24.000Z","5026","psg188td","25","0.00005","2","10000","[132,49,114,0,43,264,210,213,62,225,104,107,51,215,160,188,102,159,235,66,135,129,195,74,242]","0.008430281654000282","0.008171549066901207","0","0.6066815461912912","4451","0","781","4768","9361"
"swept-sweep-18","07itxcfn","finished","-","talking_bird","","2022-09-10T02:04:52.000Z","4880","psg188td","25","0.0005","3","10000","[171,188,142,159,143,192,116,129,57,201,25,162,0,264,118,13,225,102,126,14,251,74,240,66,193]","0.009078585542738438","0.007724731229245663","1.0003278255462646","0.49483906781987486","6596","0","987","2417","9609"
"dainty-sweep-12","07itxcfn","finished","-","talking_bird","","2022-09-09T23:20:13.000Z","4879","psg188td","25","0.0001","2","10000","[142,88,66,15,113,264,114,211,21,154,187,162,199,159,127,225,102,227,57,0,23,65,188,63,166]","0.007907809689640999","0.007573819719254971","2.3180434703826904","0.35948773385211985","5260","0","988","3752","7244"
